#separator:tab
#html:false
der Pole	поляк
die Schüssel	миска
die Pfanne	сковорода
der Topf	кастрюля
der Esslöffel	столовая ложка
der Teelöffel	чайная ложка
der Bierkrug	пивная кружка
die Mikrowelle	микроволновка
der Appetit	аппетит
riechen	пахнуть
anlassen	оставлять включённым
die Szene	сцена
schmatzen	чавкать
voll	полный
okay	окей
der Gastgeber	хозяин
die Gastgeberin	хозяйка
vorher	до этого
die Radiosendung	радиопередача
höflich	вежливый
die Diät	диета
satt	сытый
fit	в форме
überraschen	удивлять
seltsam	странный
anders	другой
scharf	острый
salzig	солёный
fett	жирный
sauer	кислый
frisch	свежий
leiten	руководить
rund	круглый
asiatisch	азиатский
das Curry	карри
unterschiedlich	различный
die Art	вид
das Müsli	мюсли
die Frucht	фрукт
das Büfett	буфет
die Vorspeise	закуска
das Hauptgericht	основное блюдо
die Karotte	морковь
der Ingwer	имбирь
deutlich	ясно
der Markt	рынок
schauen	смотреть
regional	региональный
das Produkt	продукт
die Umgebung	окрестность
außerdem	кроме того
das Geflügel	птица
das Steak	стейк
die Großküche	большая кухня
die Fabrik	фабрика
gegen	против
täglich	ежедневно
der Sitzplatz	место для сидения
das Schnitzel	шницель
die Suppe	суп
getrennt	отдельно
das Stück	кусок
die Zitrone	лимон
Platz nehmen	занять место
sauber	чистый
das Rind	корова
der Braten	жаркое
besetzt	занято
reklamieren	жаловаться
das Trinkgeld	чаевые
das Indefinitpronomen	неопределённое местоимение
die Häufigkeit	частота
der Vergleich	сравнение
der Eiskaffee	кофе с льдом
die Kochgewohnheit	кулинарная привычка
reden	разговаривать, говорить
fein	тонкий
das Hähnchen	цыплёнок
das Gedicht	стихотворение
die Bohne	фасоль
lieb	милый
das Teegebäck	печенье к чаю
klar	ясно
die Redewendung	выражение
der Satz	предложение
der Kebap	кебаб
der Dürüm	дюрюм
der Hähnchendöner	донер с курицей
nirgendwo	нигде
deshalb	поэтому
eilig	спешно
woanders	где-то ещё
der Döner	донер
eben	именно
beliebt	популярный
der Stadtteil	район города
der Schritt	шаг
entfernt	удалённый
die Internetseite	интернет-страница
bunt	яркий
sicher	уверенный, уверенно
zwischendurch	между делом
die Imbissbude	закусочная
die Frühlingsrolle	весенний рулет
zusammen weggehen	уходить вместе
sitzenbleiben	остаться сидеть
der Besuch	визит
der Snack	перекус
der Imbissstand	закусочная
das Sandwich	сэндвич
der PC	компьютер
das Besteck	столовые приборы
die Restaurantkritik	отзыв о ресторане
bieten	предлагать
traditionell	традиционный
fair	честный
original	оригинальный
hausgemacht	домашний
Salzburger Nockerln	запеканка из Зальцбурга
Dampfnudeln	паровые булочки
der Apfelstrudel	яблочный штрудель
persönlich	лично
das Highlight	главное событие
erfüllen	исполнять
der Extrawunsch	дополнительное желание
die Pizzeria	пиццерия
der Werbespruch	рекламный слоган
die Marke	марка
die Bio-Qualität	био-качество
exklusiv	эксклюзивный
die Käsetheke	сырная витрина
die Käsesorte	вид сыра
verschicken	отправлять
extra	дополнительно
die Ernährung	питание
das Rührei	яичница-болтунья
das Vollkornbrot	цельнозерновой хлеб
die Krankenkasse	медицинская страховка
ernähren	кормить
ausprobieren	пробовать
die Reservierung	бронирование
die Bestätigung	подтверждение
die Abreise	отъезд
notieren	записывать
online	онлайн
abreisen	уезжать
die Besprechung	совещание
nämlich	а именно
klug	умный
wenn	если
anschalten	включать
das Material	материал
ausschalten	выключать
der Teilnehmer	участник
die Teilnehmerin	участница
der Detektiv	детектив
die Detektivin	детектив (жен.)
unhöflich	невежливый
der Stellenmarkt	рынок вакансий
die Jobsuche	поиск работы
regelmäßig	регулярно
achten auf	обращать внимание на
der Zettel	листок
der Aushang	объявление
das Kaufhaus	универмаг
nutzen	использовать
die Plattform	платформа
das Forum	форум
das Portal	портал
das Berufsinformationszentrum	центр профинформации
die Agentur für Arbeit	агентство по трудоустройству
der Berufsberater	консультант по профессии
die Berufsberaterin	консультант по профессии (жен.)
die Zeitarbeit	временная работа
das Plakat	плакат
der Auszubildende	стажёр
die Auszubildende	стажёрка
die Gewerkschaft	профсоюз
die Sicherheit	безопасность
der Schutz	защита
der Betrieb	предприятие
die Versammlung	собрание
die Frist	срок
die Weiterbildung	повышение квалификации
das Interesse	интерес
in Rente gehen	выходить на пенсию
der Anlass	повод
das Leben	жизнь
der Rentner	пенсионер
die Rentnerin	пенсионерка
anstoßen	чокаться
die Veranstaltung	мероприятие
wenden	обращаться
der Betriebsrat	производственный совет
berichten	сообщать
beraten	советовать
der Tarif	тариф
das Recht	право
die Kündigung	увольнение
die Entlassung	увольнение
zur Erinnerung	для напоминания
die Vorschrift	предписание
betreten	входить
ohne	без
der Gehörschutz	защита слуха
entlassen	увольнять
schützen	защищать
bedanken	благодарить
ausrichten	передавать
der Export	экспорт
zurückrufen	перезванивать
das Seminar	семинар
die Durchwahl	добавочный номер
durchstellen	переключать
niemand	никто
der Feierabend	конец рабочего дня
der Import	импорт
außer Haus	вне дома
der Arbeitnehmer	работник
die Arbeitnehmerin	работница
durchschnittlich	в среднем
die Ahnung	понятие
der Nationalfeiertag	национальный праздник
die Überstunde	сверхурочные
der Lohn	зарплата
frei haben	иметь выходной
die Industrie	индустрия
mitzählen	считать вместе
der Durchschnitt	среднее значение
Island	Исландия
die Spitze	вершина
Finnland	Финляндия
Brasilien	Бразилия
meist-	чаще всего
Südkorea	Южная Корея
Japan	Япония
zusammenzählen	суммировать
insgesamt	всего
mindestens	минимум
der Nebensatz	придаточное предложение
vermuten	предполагать
vergleichen	сравнивать
der Zusammenhang	связь
ausdrücken	выражать
ein Telefongespräch führen	вести телефонный разговор
der Sachtext	информационный текст
der Illustrator	иллюстратор
die Illustratorin	иллюстраторша
die Feder	перо
der Pinsel	кисть
der Scanner	сканер
das Bonbon	конфета
das Sonnenlicht	солнечный свет
raten	советовать
der Bäcker	пекарь
die Bäckerin	пекарша
der Blumenhändler	цветочник
die Blumenhändlerin	цветочница
der Busfahrer	водитель автобуса
die Busfahrerin	водительница автобуса
der Fotograf	фотограф
die Fotografin	фотограф (жен.)
der Fußballprofi	профессиональный футболист
der Kaufmann	коммерсант
die Kauffrau	коммерсантка
der Kindergärtner	воспитатель детсада
die Kindergärtnerin	воспитательница детсада
der Mechaniker	механик
die Mechanikerin	механик (жен.)
der Sänger	певец
die Sängerin	певица
die Schere	ножницы
der Schluckauf	икота
atmen	дышать
der Kopfstand	стойка на голове
das Eiswasser	ледяная вода
freinehmen	брать выходной
der Ferienjob	подработка на каникулах
die Homepage	домашняя страница
die Webseite	веб-страница
teilnehmen	участвовать
die Anmeldefrist	срок регистрации
die Pflegedienstleitung	руководство службы ухода
der Pflegebereich	сфера ухода
der Reparaturservice	сервис ремонта
ähnlich	похожий
die Mehrarbeitszeit	сверхурочное время
der Unterschied	различие, разница
selbstständig	самостоятельный
das Verkehrsmittel	транспортное средство
die Krankheit	болезнь
begrenzt	ограниченный
das Gesetz	закон
die Regelung	регулирование
der Anspruch	право
das Bewerbungsschreiben	сопроводительное письмо
Deutschkenntnisse	знание немецкого языка
flexibel	гибкий
die Küchenhilfe	помощник на кухне
das Zertifikat	сертификат
das Vorstellungsgespräch	собеседование
sobald wie möglich	как можно скорее
die Probezeit	испытательный срок
brutto	брутто
der Beginn	начало
die Dauer	длительность
das Arbeitsverhältnis	трудовые отношения
die Tätigkeit	деятельность
einstellen	принимать на работу
erhalten	получать
monatlich	ежемесячно
wöchentlich	еженедельно
der Mindesturlaub	минимальный отпуск
das Kalenderjahr	календарный год
ausgehen von	исходить из
die Fünf-Tage-Woche	пятидневная неделя
der Kalendermonat	календарный месяц
bewegen	двигать
interessieren	интересовать
der Tanz	танец
der Basketball	баскетбол
die Samba	самба
fühlen	чувствовать
zu wenig	слишком мало
das Video	видео
hinfallen	падать
die Lust	желание
der Verein	клуб
der Versuch	попытка
der Meister	мастер
die Sportart	вид спорта
die Entspannung	расслабление
die Bewegung	движение
die Müdigkeit	усталость
verabreden	договориться
ausruhen	отдыхать
entspannen	расслабляться
ärgern	злить
die Pantomime	пантомима
schminken	краситься
rasieren	бриться
kämmen	расчесывать
waschen	мыть
beeilen	торопиться
konzentrieren	концентрироваться
beschweren	жаловаться
überhaupt	вообще
die Zeitschrift	журнал
die Geschichte	история
das Theater	театр
die Nachrichten	новости
die Weltmeisterschaft	чемпионат мира
die Wettervorhersage	прогноз погоды
die Mannschaft	команда
das Finale	финал
kümmern	заботиться
träumen	мечтать
die Angst	страх
ehrlich	честный
das Gold	золото
die Medaille	медаль
der Handball	гандбол
das Eishockey	хоккей
die Saison	сезон
brutal	жестокий
olympisch	олимпийский
erinnern	вспоминать
denken	думать
Ferien	каникулы
die Gymnastik	гимнастика
das Tischtennis	настольный теннис
das Yoga	йога
der Volleyball	волейбол
die Fitness	фитнес
der Beitrag	вклад
der Anfänger	новичок
die Anfängerin	новичок (жен.)
die Gruppe	группа
die Ermäßigung	скидка
der Azubi	ученик
der Fortgeschrittene	продвинутый
zusätzlich	дополнительно
aktiv	активный
halten	держать
häufig	часто
die Ursache	причина
der Bildschirm	экран
guttun	быть полезным
der Körper	тело
die Luft	воздух
die Weltgesundheitsorganisation	Всемирная организация здравоохранения
die Untersuchung	исследование
schaffen	справляться
das Fitnessstudio	фитнес-студия
preiswert	недорогой
effektiv	эффективный
der Trend	тренд
sogenannt	так называемый
das Nordic-Walking	скандинавская ходьба
der Stock	палка
die Tischtennisplatte	стол для настольного тенниса
der Spielplatz	детская площадка
die Strecke	маршрут
die Umwelt	окружающая среда
minütig	минутный
das Walken	ходьба
übertreiben	преувеличивать
selbstverständlich	само собой разумеется
das reflexive Verb	возвратный глагол
das Präpositionaladverb	предложное наречие
Antworten abstufen	градуировать ответы
Informationen erfragen	запрашивать информацию
hierher	сюда
der Bürokaufmann	офисный работник
die Bürokauffrau	офисная работница
der Erstliga-Klub	клуб первой лиги
die Bundesliga	бундеслига
leidenschaftlich	страстный
der Fußballspieler	футболист
die Fußballspielerin	футболистка
der Realschulabschluss	аттестат реальной школы
der Kaufmann für Bürokommunikation	специалист по офисной коммуникации
die Kauffrau für Bürokommunikation	специалистка по офисной коммуникации
vernünftig	разумный
positiv	положительный
wahr machen	осуществлять
schlagen	бить
das Herz	сердце
aufwachsen	вырастать
die Staatsangehörigkeit	гражданство
die Jahreszeit	время года
der Wasserball	водное поло
die Amateur-Mannschaft	любительская команда
das Hallenbad	крытый бассейн
die Wanderung	пешая прогулка, поход
übernachten	ночевать
der Hampelmann	кукла на нитках
der Radiobeitrag	радиопередача
anstrengend	утомительный
der Sportplatz	спортивная площадка
der Klassenlehrer	классный руководитель
die Klassenlehrerin	классная руководительница
Karten spielen	играть в карты
die Sportschau	спортивное шоу
das Rätsel	загадка
die Prüfung	экзамен
die Tour	тур
die Step-Aerobic	степ-аэробика
der Treff	встреча
führen	вести
der Treffpunkt	место встречи
das Rathaus	ратуша
das Übergewicht	лишний вес
das Tablet	планшет
testen	тестировать
spielerisch	игровой
die Folge	серия
der Klassenkamerad	одноклассник
die Klassenkameradin	одноклассница
das Fett	жир
der Organisator	организатор
die Organisatorin	организаторша
die Aktion	акция
letztlich	в конечном итоге
das Postfach	почтовый ящик
versichern	страховать
der Zahnersatz	зубной протез
die Kontaktlinse	контактная линза
der Teil	часть
die Zusatzversicherung	дополнительная страховка
gering	малый
Zusatzkosten	дополнительные расходы
die Hotline	горячая линия
die Kundenbetreuung	обслуживание клиентов
die Schönheitsoperation	пластическая операция
der Betriebsarzt	врач предприятия
die Betriebsärztin	врач предприятия (жен.)
der Angestellte	служащий
die Angestellte	служащая
die Berufskrankheit	профессиональное заболевание
die Arbeitsschutzmaßnahme	меры охраны труда
einhalten	соблюдать
umstellen	переставлять
der Nacken	шея
das Vitamin	витамин
das Zwischenzeugnis	промежуточное свидетельство
das Zeugnis	свидетельство
das Fach	предмет
die Erdkunde	география
die Note	оценка
das Gymnasium	гимназия
das Schuljahr	учебный год
das Referat	доклад
das Abitur	экзамен на аттестат зрелости
der Abschluss	окончание
faul	ленивый
schrecklich	ужасный
fleißig	прилежный
intelligent	умный
streiten	спорить
dass	что
das Verhalten	поведение
streng	строгий
der Wunsch	желание
der Plan	план
der Schneider	портной
die Spedition	транспортная компания
das Logistikmanagement	логистический менеджмент
der Astronaut	астронавт
die Astronautin	астронавтка
das Handwerk	ремесло
vorhin	только что
mittler-	средний
die Aktivität	активность
herausfinden	выяснять
das Bundesland	федеральная земля
das System	система
die Grafik	графика
der Bachelor	бакалавр
der Master	магистр
die Universität	университет
die Hochschule	высшее учебное заведение
die Berufsausbildung	профессиональное образование
die Berufsschule	профессиональная школа
die praktische Ausbildung	практическое обучение
das duale System	дуальная система
die Quali	квалификация
die Hauptschule	основная школа
die Mittelschule	средняя школа
die Realschule	реальная школа
die Mittlere Reife	среднее образование
die Gesamtschule	общая школа
freiwillig	добровольно
die Krippe	ясли
die Physik	физика
der Tischler	столяр
die Tischlerin	столяр (жен.)
die Biologie	биология
die Chemie	химия
die Geografie	география
die Kunst	искусство
die Sozialkunde	обществознание
der Fragebogen	анкета
hassen	ненавидеть
das Frühjahr	весна
die Theorie	теория
sprachlich	языковой
inhaltlich	содержательный
die Bedeutung	значение
der Fachbegriff	термин
der Umgang	обращение
das Lehrmaterial	учебный материал
die Einführung	введение
speichern	сохранять
das Digitalfoto	цифровое фото
die Suchmaschine	поисковая система
der Web-Katalog	веб-каталог
das Berufsvorbereitungsjahr	год подготовки к профессии
der Migrant	мигрант
die Migrantin	мигрантка
einjährig	однолетний
die Welt	мир
sozial	социальный
die Kompetenz	компетенция
der Vortrag	доклад
bewerben	подавать заявление
formulieren	формулировать
präsentieren	презентовать
der Experte	эксперт
die Expertin	экспертка
der Trick	трюк
die Vorbereitung	подготовка
der Einbürgerungstest	тест на гражданство
der Ablauf	ход событий
der Lehrgang	курс
die Qualifizierung	квалификация
die Pflege	уход
halbjährig	полугодовой
die Förderung	поддержка
die Beratung	консультация
der Erste-Hilfe-Kurs	курс первой помощи
verletzen	ранить
bluten	кровоточить
der Handgriff	приём
die Notsituation	чрезвычайная ситуация
der Werdegang	карьера
die Wurzel	корень
das Studium	учёба
der Tagesablauf	распорядок дня
bestehen	существовать, состоять
allerdings	однако
das Studienjahr	учебный год
der Migrationshintergrund	миграционный фон
der Assistenzarzt	врач-ассистент
die Assistenzärztin	врач-ассистент (жен.)
stolz	гордый
die Berufsanerkennung	признание профессии
elektrisch	электрический
auseinanderschrauben	разбирать
der Elektroniker	электроник
die Elektronikerin	электроник (жен.)
die Telekommunikation	телекоммуникация
das Lehrjahr	год обучения
die Anlage	установка
die Technik	техника
der Kontakt	контакт
anerkennen	признавать
prüfen	проверять
identisch	идентичный
kompliziert	сложный
das Unternehmen	предприятие
kreativ	креативный
der Schauspieler	актёр
die Schauspielerin	актриса
die Meinung	мнение
zustimmen	соглашаться
gestresst	в стрессе
der Schein	свидетельство
die Bildung	образование
die Zukunft	будущее
blöd	глупый
der Erfolg	успех
der Elternabend	родительское собрание
das Heft	тетрадь
der Elternbeirat	родительский комитет
wählen	выбирать
die Wahl	выбор
die Neuigkeit	новость
die Organisation	организация
das Haustier	домашнее животное
der Bauernhof	ферма
das Gewicht	вес
das Gewitter	гроза
das Schema	схема
das Gespräch	разговор
der Industrie-Designer	индустриальный дизайнер
die Industrie-Designerin	индустриальный дизайнер (жен.)
der Automobilkonzern	автомобильный концерн
absolut	абсолютно
der Ausbildungsplatz	место обучения
das Fachabitur	специальный аттестат зрелости
das Design	дизайн
die Altenpflege	уход за пожилыми
speziell	специально
die Erste Hilfe	первая помощь
das Knie	колено
finanziell	финансовый
aufhören	прекращать
das Fußballstadion	футбольный стадион
tabellarisch	табличный
der Lebenslauf	резюме
das Klinikum	клиника
die Kinderstation	детское отделение
fließend	свободно
Daten	данные
verändern	изменять
beschäftigt	занятый
Arbeitsbedingungen	условия труда
weiterentwickeln	развивать дальше
die Stärke	сила
vorschlagen	предлагать
unbekannt	неизвестный
vorbereiten	готовить
basteln	мастерить
das Tzatziki	цацики
entscheiden	решать
zuletzt	в конце
der Hummus	хумус
der Teddy	плюшевый медведь
schenken	дарить
die Espressomaschine	эспрессо-машина
die Praline	шоколадная конфета
das Kochbuch	кулинарная книга
die Mütze	шапка
die Kette	цепочка
die Puppe	кукла
die DVD	DVD
der DVD-Player	DVD-плеер
das Parfüm	духи
die Creme	крем
der Geldbeutel	кошелёк
probieren	пробовать
die Nudel	лапша
liefern	доставлять
zuverlässig	надёжный
sonder-	особый
nennen	называть
die Schachtel	коробка
ausdrucken	распечатывать
das Klebeband	клейкая лента
die Schnur	шнур
das Packpapier	обёрточная бумага
der Adressaufkleber	адресная наклейка
das Geschenkpapier	подарочная бумага
die Briefmarke	марка
Leute	люди
die Kirche	церковь
die Trauung	венчание
wahnsinnig	безумный
feierlich	торжественный
die Stimmung	настроение
grüßen	приветствовать
wunderschön	прекрасный
weinen	плакать
die Braut	невеста
typisch	типичный
die Torte	торт
anschneiden	надрезать
übrigens	кстати
der Walzer	вальс
treten	ступать
nervös	нервный
wenigstens	по крайней мере
wach	бодрый
wild	дикий
das Brautpaar	молодожёны
der Bräutigam	жених
tragen	носить
der Gutschein	сертификат
das Fußballtrikot	футбольная форма
selbstgemacht	самодельный
die Pflaume	слива
die Hauptsache	главное
tabu	табу
der Tod	смерть
symbolisieren	символизировать
ausgeben	тратить
die Vorliebe	предпочтение
die Heimat	родина
per	по
unterhalten	развлекать
einigen	соглашаться
das Budget	бюджет
die Dekoration	декорация
die Unterhaltung	развлечение
das Motto	девиз
die Vorführung	представление
das Harmonium	гармониум
überzeugen	убеждать
die Syntax	синтаксис
die Stellung	позиция
die Wichtigkeit	важность
die Frisur	прическа
das Golf	гольф
gemütlich	уютный
decken	накрывать
Afrika	Африка
Asien	Азия
verrückt	сумасшедший
zusammenbringen	собирать вместе
aufstellen	устанавливать
die Teilnahme	участие
der Konflikt	конфликт
aufbauen	строить
ansprechen	обращаться
eintragen	вносить
der Witwer	вдовец
die Witwe	вдова
das Stadtzentrum	центр города
der Stadtrand	окраина города
wohlfühlen	чувствовать себя хорошо
die Scharade	шарада
die Spielanleitung	инструкция к игре
ausdenken	придумывать
das Holz	дерево
der Hammer	молоток
das Werkzeug	инструмент
mitspielen	играть вместе
ausschlafen	высыпаться
die Disko	дискотека
die Diskothek	дискотека
das Fremdwort	заимствованное слово
ausgehen	выходить
verbringen	проводить время
die Wäsche	белье
unternehmen	предпринимать
das Ding	вещь
der See	озеро
trotzdem	тем не менее
die Radtour	велопоездка
der Flohmarkt	блошиный рынок
erkältet sein	простудиться
ständig	постоянно
weglegen	откладывать
der Vorschlag	предложение
die Rundfahrt	экскурсия
einverstanden	согласен
negativ	отрицательный
die Kultur	культура
die Natur	природа
die Oper	опера
bügeln	гладить
der Veranstaltungskalender	календарь мероприятий
die Skate-Night	катание на скейтборде ночью
