#separator:tab
#html:false
der Abend	вечер
Nord-	северный-
der Norden	север
die Nummer	номер
nur	только
das Obst	фрукты
oder	или
die Öffnungszeit	часы работы
die Oma	бабушка
der Opa	дедушка
die Orange	апельсин
der Osten	восток
Österreich	Австрия
die Packung	упаковка
der Papa	папа
der Park	парк
die Party	вечеринка
die Pause	перерыв
der Pfannkuchen	блин
der Pfeffer	перец
das Picknick	пикник
die Pizza	пицца
der Platz	место/площадь
plus	плюс
Polnisch	(язык) польский
die Pommes frites	картошка фри
die Portion	порция
die Postleitzahl	почтовый индекс
die Präsentation	презентация
die Praxis	практика/клиника
prima	отлично
privat	частный
das Problem	проблема
pünktlich	пунктуальный
der Quadratmeter	квадратный метр
das Radio	радио
der Raum	комната
das Regal	полка
der Regen	дождь
regnen	идти (о дожде)
der Reis	рис
richtig	правильно
rot	красный
Rumänien	Румыния
der Saft	сок
sagen	сказать
der Salat	салат
das Salz	соль
sammeln	собирать
der Samstag	суббота
schade	жаль
schauen	смотреть
scheinen	светить/казаться
der Schinken	ветчина
schlafen	спать
das Schlafzimmer	спальня
schlecht	плохо
schließen	закрывать
schmal	узкий
der Schmerz	боль
der Schnee	снег
schneien	идти (о снеге)
schnell	быстро
die Schokolade	шоколад
schon	уже
schön	красивый
der Schrank	шкаф
schreiben	писать
der Schreibtisch	письменный стол
die Schule	школа
schwarz	чёрный
die Schwester	сестра
das Schwimmbad	бассейн
schwimmen	плавать
sehen	видеть
sehr	очень
sein	быть
selbst	сам
der Sessel	кресло
Sie	Вы (вежл.)
sie (Plural)	они
sie (Singular)	она/он/оно (контекст)
singen	петь
so	так
das Sofa	диван
der Sohn	сын
der Sommer	лето
das Sonderangebot	специальное предложение
der Sonnabend	суббота (в некоторых регионах)
die Sonne	солнце
sonnig	солнечно
der Sonntag	воскресенье
sonst	иначе/ещё
Spanisch	(язык) испанский
der Spaß	веселье
spät	поздно
spazieren gehen	ходить на прогулку
die Speise	блюдо
die Speisekarte	меню
das Spiel	игра
spielen	играть
der Sport	спорт
die Sprache	язык
die Sprachenschule	школа языков
sprechen	говорить
die Stadt	город
steigen	подниматься
stimmen	голосовать/быть верным
die Straße	улица
der Stuhl	стул
die Stunde	час
suchen	искать
Süd-	южный-
der Süden	юг
super	супер
der Supermarkt	супермаркет
Syrien	Сирия
der Tag	день
tanzen	танцевать
das Team	команда
der Tee	чай
das Telefon	телефон
telefonieren	разговаривать по телефону
die Telefonnummer	номер телефона
die Temperatur	температура
der Teppich	ковёр
der Termin	встреча/запись
der Test	тест
teuer	дорогой
der Text	текст
der Tisch	стол
die Tochter	дочь
die Toilette	туалет
toll	классно
die Tomate	помидор
Traum-	мечта-/фантастический-
treffen	встречать
trinken	пить
tschüs	пока
die Türkei	Турция
Türkisch	(язык) турецкий
das TV	телевидение (разг.)
das Fernsehen	телевидение
üben	практиковать
überall	везде
die Übung	упражнение
die Uhr	часы
um	в/около
und	и
Ungarn	Венгрия
der Unterricht	урок/занятие
der Vater	отец
vergessen	забывать
verheiratet	женат/замужем
verkaufen	продавать
der Verkäufer	продавец
vermieten	сдавать внаём
verwitwet	овдовевший
viel	много
vielen Dank	большое спасибо
vielleicht	возможно
das Viertel	четверть/район
von	от/из
von … bis	от … до
vor	перед/до
der Vormittag	предобеденное время
der Vorname	имя
wandern	пеший туризм/гулять
wann	когда
warm	тёплый
warum	почему
was	что
das Waschbecken	умывальник
die Wäsche	белье
waschen	стирать/мыть
die Waschmaschine	стиральная машина
das Wasser	вода
wecken	будить
der Wein	вино
weiß	белый
Welche …?	какой/какая/какое
wer	кто
der Westen	запад
das Wetter	погода
der Wetterbericht	прогноз погоды
wichtig	важный
wie	как
Wie bitte?	Что-как? (повторите, пожалуйста)
Wie viel	Сколько
wieder	снова
willkommen	добро пожаловать
der Wind	ветер
windig	ветрено
der Winter	зима
wir	мы
wo	где
das Wochenende	выходные
woher	откуда
wohnen	жить (где-то)
der Wohnort	место жительства / город
die Wohnung	квартира
das Wohnzimmer	гостиная
die Wolke	облако
wollen	хотеть
die Wurst	колбаса/сосиска
das Würstchen	сосиска
die Zeit	время
der Zentimeter	сантиметр
das Zimmer	комната
der Zucker	сахар
zurückkommen	возвращаться
zusammen	вместе
die Zwiebel	лук
