#separator:tab
#html:false
ab	от
der Stock	этаж, палка
stören	мешать
die Straßenbahn	трамвай
der Stress	стресс
der Strumpf	гольф, чулок
das Tablet	планшет
die Tablette	таблетка
tagsüber	в течение дня
die Tankstelle	заправка
die Tasche	сумка
die Taste	кнопка
das Taxi	такси
der Techniker	техник
die Teilzeit	частичная занятость
das Thema	тема
das Ticket	билет
das Tier	животное
total	совершенно, полностью
das Training	тренировка
traurig	грустный
das T-Shirt	футболка
das Tuch	платок, ткань
tun	делать
die Tür	дверь
die Tüte	пакет
die U-Bahn	метро
über	над, через, о
übermorgen	послезавтра
die Uhr	часы
die Umfrage	опрос
umsteigen	пересаживаться (на транспорт)
unbedingt	обязательно
der Unfall	несчастный случай
unfreundlich	неприветливый
unser-	наш
unter	под
das Untergeschoss	цокольный этаж
unterschreiben	подписывать
die Unterschrift	подпись
der Urlaub	отпуск
die Veranstaltung	мероприятие
verboten (sein)	запрещено
der Verdienst	заработок
verlängern	продлевать
verschicken	отправлять (по почте)
die Versichertenkarte	карта застрахованного
die Verspätung	опоздание
verstehen	понимать
verwenden	использовать
viel-	много, числительный префикс
das Viertel (Stadt)	район
die Viertelstunde	15 минут
die Vollzeit	полная занятость
vorbei-	мимо, окончание (pref.)
vorbeikommen	заходить, забежать
vorher	до этого, раньше
vormittags	до полудня
vorn	впереди
vorne	спереди
wählen	выбирать, звонить (по номеру)
die Ware	товар
der Wartebereich	зона ожидания
warten	ждать
weg	прочь, ушедший
der Weg	путь
weh·tun	болеть, причинять боль
weiblich	женский
das Weihnachten	Рождество
weit	далеко
welch-	какой
werden	становиться, вспом.глагол образования времен
die Werkstatt	мастерская
wiederholen	повторять
die Wiese	луг
wirklich	действительно
wissen	знать
der Witz	шутка
die Woche	неделя
der Wochentag	день недели
wohin	куда
das Wort	слово
wunderbar	прекрасно, замечательно
die Zahl	число
zahlen	платить
der Zahn	зуб
die Zahnbürste	зубная щётка
die Zahnpasta	зубная паста
zeigen	показывать
die Zeitschrift	журнал
die Zeitung	газета
zentral	центральный
ziehen	тянуть, переезжать
das Ziel	цель, конечный пункт
die Zigarette	сигарета
zu	к, слишком, закрыто
zuerst	сначала
der Zug	поезд
zuhören	слушать
zumachen	закрывать
zurück	назад
zurückrufen	перезванивать
zurzeit	в настоящее время
zweite	второй
zwischen	между
